magnetic	[mægˈnetɪk] a. 磁的，有磁性的；有吸引力的
actual	[ˈæktʃuəl] a. 实际的；真实的
disclose	[dɪsˈkləuz] vt. 揭露；透露；公开
blend	|
unload	[ˏʌnˈləud] v. 从……卸下货物；摆脱
barge	|
stark	[stɑːk] a. 光秃秃的，赤裸的；荒凉的；完全的
unbiased	[ʌnˈbaɪəst] a. 公正的，没有偏见的
magma	[ˈmægmə] n. 岩浆
application	[ˏæplɪˈkeɪʃn] n. 请求，申请（书，表）；应用，运用；施用，敷用
detect	[dɪˈtekt] vt. 发现，察觉；侦查，探测
gloss	|
intervention	[ˌɪntə'venʃn] n. 干涉，干预，介入
parcel	[ˈpɑːsl] n. 包裹
couple	|
locate	[ləuˈkeɪt] vt. 找到；位于；使坐落于；把……设置在
clockwise	[ˈklɒkwaɪz] a./ad. 顺时针方向的/地
supply	|
arboreal	[ɑːˈbɔːrɪəl] a. 树木的；栖于树木的
influenza	[ˏɪnfluˈenzə] n. 流行性感冒
socialise	[ˈsəuʃəlaɪz] v. （同他人）来往，交往，交际；使（某人）适应社会生活
popularize	['pɒpjələraɪz] vt. 宣扬，宣传，推广；使普及，使通俗化
behave	[bɪˈheɪv] v. 表现；（机器等）运转；（事物）起作用；表现得体；使检点
obscene	[əbˈsiːn] a. 淫秽的，猥亵的，下流的；可憎的，可恶的；（数量）大得惊人的，骇人听闻的
undoubtedly	[ʌn'daʊtɪdlɪ] ad. 毋庸置疑地，确凿地
midst	[mɪdst] n. 中间
understanding	|
reservation	[ˏrezəˈveɪʃn] n. 保留意见，存疑；预定，预订
private	[ˈpraɪvɪt] a. 私人的；私下的；私立的
hitherto	[ˏhɪðəˈtuː] ad. 到目前为止，迄今
absent	[ˈæbsənt] a. 不在场的；心不在焉的
succession	[səkˈseʃn] n. 连续；接替，继承
biography	[baɪˈɔgrəfɪ] n. 传记
cite	[saɪt] vt. 引用；引证
perquisite	[ˈpɜːkwɪzɪt] n. 利益；特权
advice	[ədˈvaɪs] n. 劝告，忠告；建议，（医生等的）意见
hallowed	[ˈhæləʊd] a. 受崇敬的；神圣（化）的
fund	|
fascinate	[ˈfæsɪneɪt] v. 强烈地吸引，使着迷
bureau	[ˈbjuərəu] n. 办公室；机构；局；处；所
rude	[ruːd] a. 粗鲁的；粗糙的
blanket	[ˈblæŋkɪt] n. 毯子；厚的覆盖物
predict	[prɪˈdɪkt] v. 预言；预告
swap	[swɔp] v./n. 交换
bid	[bɪd] n./v. 出价；投标
scarce	[skeəs] a. 缺乏的，不足的；稀少的，罕见的
percentage	[pəˈsentɪdʒ] n. 百分比，百分率
flexible	[ˈfleksəbl] a. 易弯曲的；柔韧的；灵活的
inborn	[ˏɪnˈbɔːn] a. 天生的，先天的，天赋的
topple	[ˈtɔpl] v. 倒塌，倒下；打倒，推翻
opulent	[ˈɔpjulənt] a. 豪华的，华丽的，富裕的；丰富的，丰饶的
administrative	__adminstrative__ [ədˈmɪnɪstrətɪv] a. 管理的，行政的
entwine	[ɪnˈtwaɪn] vt. 使缠住，使盘绕
destiny	[ˈdestɪnɪ] n. 命运，定数
adapt	[əˈdæpt] v. 使适合；改编；适应
foreland	[ˈfɔːlənd] n. 前沿地；岬角
tablet	[ˈtæblɪt] n. 药片
threshold	[ˈθreʃhəuld] n. 入门，门槛；界限；开端，起点
referee	|
impair	[ɪmˈpeə(r)] vt. 损害；削弱
flora	[ˈflɔːrə] n. （某地区或时期的）一切植物，植物群
installment	__intallment__ [ɪn'stɔ:lmənt] n. 分期付款；（连载或连播的）一集
discrepancy	[dɪˈskrepənsɪ] n. 不同；矛盾
steam	|
crocodile	[ˈkrɔkədaɪl] n. 鳄鱼；鳄鱼皮
counterproductive	[ˌkaʊntəprəˈdʌktɪv] a. 产生相反效果的，适得其反的
fraught	[frɔːt] a. 充满……的；担心的，烦恼的
audio	[ˈɔ:diəʊ] a. 听觉的；声音的
slump	|
segment	[ˈsegmənt] n. 片段；部分；节；线段；（橘子等的）瓣
depict	[dɪˈpɪkt] vt. 描绘，描述
constitute	[ˈkɔnstɪtjuːt] v. 组成；构成；设立，成立
notable	|
blame	[bleɪm] vt. 责怪，责备
accountant	[əˈkauntənt] n. 会计师
vulnerable	__vulnerabel__ [ˈvʌlnərəbl] a. 易受攻击的，易受伤的
apparent	[əˈpærənt] a. 显然的；表面上的
for-the-sake-of	for the sake of 为了
understandable	[ˌʌndəˈstændəbl] a. 可以理解的，能懂的；可同情的
extol	[ɪkˈstəul] vt. 赞颂，赞美，颂扬
requisition	[ˏrekwɪˈzɪʃn] n./vt. 正式要求；征用
aspect	[ˈæspekt] n. 方面；（建筑物的）朝向，方向；外貌，外观样子
surface	|
antiseptic	|
background	[ˈbækgraund] n. 背景；经历；后台；不重要或不引人注目的地方
chunk	[tʃʌŋk] n. 大块；相当大的部分（或数量）
smother	[ˈsmʌðə(r)] v. 厚厚的覆盖；（使）窒息；把（火）闷熄
disharmony	[dɪsˈhɑːmənɪ] n. 不一致；不和谐
intensity	[ɪn'tensətɪ] n. 强烈，剧烈；强度
senior	|
skew	|
biological	[ˏbaɪəˈlɔdʒɪkl] a. 生物的；生物学的，有关生物学的
depend	[dɪˈpend] vi. 依靠，依赖；信赖，相信；决定于，视……而定
statistically	[stə'tɪstɪklɪ] ad. 统计上地
camouflage	[ˈkæməflɑːʒ] v./n. 掩饰，伪装
detective	|
regional	['rɪːdʒənl] a. 局部范围的；地方（性）的，区域性的；全地区的，整个地区的
sanctuary	[ˈsæŋktʃuərɪ] n. 圣堂，圣殿，圣坛；圣地；庇护所，避难所；禁猎区，动物保护区
pliable	[ˈplaɪəbl] a. （指人或思想）容易受影响的；顺从的；易弯的，柔韧的
column	[ˈkɔləm] n. 柱；柱状物；专栏（文章），栏目
escalate	[ˈeskəleɪt] v. （使）逐步增长或发展，（使）逐步升级
impossible	[ɪmˈpɔsəbl] a. 不可能的，办不到的
disastrous	[dɪˈzɑ:strəs] a. 损失惨重的，灾难性的；极坏的
whistle	|
meagre	[ˈmiːgə(r)] a. 少量的，粗劣的
reference	[ˈrefərəns] n. 参考，参考书目；提及，涉及；证明书（或人）；介绍（人）
continually	[kən'tɪnjʊəlɪ] ad. 连续地，持续地
compassionate	[kəm'pæʃənət] a. 有同情心的，表示怜悯的
additional	[əˈdɪʃənl] a. 附加的；追加的
pest	[pest] n. 害虫
sticky	[ˈstɪkɪ] a. 黏性的；（天气）湿热的
implication	[ˏɪmplɪˈkeɪʃn] n. 含意；暗示，暗指；卷入，牵连
complain	[kəmˈpleɪn] v. 抱怨；投诉
infrastructure	['ɪnfrəstrʌktʃə(r)] n. 基础结构，基础设施
technician	[tekˈnɪʃn] n. 技术员，技师
desperate	[ˈdespərət] a. 绝望的；拼命的，不顾一切的；极度渴望的；危急的
sanitation	[ˏsænɪˈteɪʃn] n. （公共）卫生，卫生设施
plot	[plɔt] n. 情节；阴谋；小块土地
revolution	____ [ˏrevəˈluːʃn] n. 革命；巨变，大变革
numerous	[ˈnjuːmərəs] a. 众多的
continental	[ˌkɒntɪ'nentl] a. 欧洲大陆的；大陆性的  n. 欧洲大陆人
compel	[kəmˈpel] vt. 强迫
manoeuvre	|
glitter	[ˈglɪtə(r)] n./vi. 闪光
inventive	[ɪnˈventɪv] a. 发明的，创造的；善于发明创造的
phenomenon	[fəˈnɔmɪnən] n. 现象，迹象；非凡的人（或事物）
spade	[speɪd] n. 铁锹
pamphlet	[ˈpæmflət] n. 小册子
compensate	[ˈkɔmpenseɪt] v. 补偿，赔偿；弥补
specify	[ˈspesɪfaɪ] v. 指定；详细说明
terrain	[təˈreɪn] n. 地形，地势
deplete	[dɪˈpliːt] vt. 倒空；（使）枯竭；消耗
elevate	[ˈelɪveɪt] vt. 提升……的职位；举起；使更有修养
considerable	[kənˈsɪdərəbl] a. 相当大（或多）的，可观的；值得考虑的，重要的
alluvial	|
suffer	[ˈsʌfə(r)] v. 遭受，忍受；忍耐；容许；患病；受损失
workforce	[ˈwɜ:kˌfɔ:s] n. 受雇的或现有的工作人员总数；劳动人口
crystallize	[ˈkrɪstəlaɪz] v. （使）结晶；（使）变明确
astound	[əˈstaund] v. （使）震惊
trap	|
degrade	[dɪˈgreɪd] v. （使）降级；（使）堕落；（使）降解；（使）退化
former	|
decay	|
transparent	[trænsˈprənt] a. 透明的；清澈的；明显的；易懂的
judgment	['dʒʌdʒmənt] n. 意见；审判；判断（力）
romance	[rəuˈmæns] n. 恋爱；浪漫爱情；爱情小说，传奇故事
carry	|
suffice	[səˈfaɪs] v. （使）满足，（使）满意；足够
semantic	[sɪˈmæntɪk] a. 语义的
barbecue	[ˈbɑːbɪkjuː] n. 金属烤肉架；烧烤野餐
acupuncture	[ˈækjupʌŋktʃə(r)] n. 针刺疗法，针灸
track	|
tillable	__tilable__ ['tɪləbl] a. 适宜耕种的，可耕种的
siesta	[sɪˈestə] n. 午睡，午休
curiosity	[ˏkjuərɪˈɔsətɪ] n. 好奇，好奇心；稀奇或罕见的事物或人，古玩
abolish	[əˈbɔlɪʃ] vt. 废止，废除
cafeteria	[ˏkæfəˈtɪərɪə] n. 自助餐馆；自助食堂
keystone	['ki:stəʊn] n. 拱顶石；（计划，论据等的）基础，主旨
lead	|
intestine	[ɪnˈtestɪn] n.[解]肠
pregnancy	['preɡnənsɪ] n. 怀孕；怀孕期
odd	[ɔd] a. 奇特的；临时的；奇数的
essence	[ˈesns] n. 本质；精髓
campfire	[ˈkæmpfaɪə(r)]] n. 营火
jeopardise	[ˈdʒepədaɪz] vt. 危害，使受危困
ignorance	[ˈɪgnərəns] n. 无知，愚昧；不知道
guilty	['ɡɪltɪ] a. 内疚的；有罪的
compound	|
flicker	[ˈflɪkə(r)] n./vi. 闪烁；一闪而过
promote	[prəˈməut] vt. 促进；提升；促销
supplement	|
chain	|
faith	[feɪθ] n. 信任，信用；信仰，信条
timber	[ˈtɪmbə(r)] n. 木材，木料；栋木，大梁
relation	[rɪˈleɪʃn] n. 关系，联系；亲属，亲戚
stationery	[ˈsteɪʃənri] n. 文具
angle	|
illuminate	__illuminant__ [ɪˈluːmɪneɪt] vt. 照亮；阐明，解释；启发
unaware	[ˏʌnəˈweə(r)] a. 未意识到的
relocate	[ˏriːləuˈkeɪt] v. 重新安置，（使）搬迁，迁移
entrepreneur	__entreprenneur__ [ˏɔntrəprəˈnɜː(r)] n. 企业家；承包人
hereditary	[hɪˈredɪtrɪ] a. （尤指疾病）遗传的，遗传性的；可继承的，世袭的
female	|
dystrophy	[ˈdɪstrəfɪ] n. 营养障碍；营养不良
develop	[dɪˈveləp] v. 发展；生长，形成；开发
remain	|
detrimental	[ˌdetrɪˈmentl] a. 不利的，有害的
nutrient	[ˈnjuːtrɪənt] n. 滋养物，营养品
characteristic	|
integrate	[ˈɪntɪgreɪt] v. （使）合并，（使）成为一体
exotic	[ɪgˈzɔtɪk] a. 外来的；奇异的；醒目的，吸引人的
expiry	[ɪkˈspaɪərɪ] n. 满期，终结
source	[sɔːs] n. 来源，出处；（河的）源头，发源地；根源，起源
massive	[ˈmæsɪv] a. 大而重的，厚实的，粗大的；大量的，大规模的
semester	[sɪˈmestə(r)] n. 学期
general	|
ounce	[auns] n. 盎司
surround	[səˈraund] vt. 围绕；包围
discerning	[dɪˈsɜ:nɪŋ] a. 有识别力的，眼光敏锐的
managerial	[ˌmænəˈdʒɪəriəl] a. 经理的；管理的，经营的
larva	[ˈlɑːvə] n. [pl. larvae] 幼虫，幼体
transaction	[trænˈzækʃn] n. 办理；处理；交易，业务；[pl.] 会报，学报
critical	[ˈkrɪtɪkl] a. 批评的，评论的；危急的，紧要的；临界的；挑剔的
dean	[diːn] n. （基督教的）教长；（大学的）院长、系主任
modify	[ˈmɔdɪfaɪ] vt. 更改，修改；（语法上）修改
sheer	[ʃɪə(r)] a. 十足的；纯粹的；陡峭的
doctorate	['dɒktərɪt] n. 博士学位
mundane	[mʌnˈdeɪn] a. 世界的；世俗的，现世的；平淡的
aggravate	[ˈægrəveɪt] vt. 恶化，加重，加剧
stir	[stɜː(r)] v./n. 搅动；摇动；激动
compatible	[kəmˈpætəbl] a. 兼容的；合得来的
tempt	[tempt] vt. 引诱；吸引
conservative	|
indolent	[ˈɪndələnt] a. 懒惰的，倦怠的；不活跃的，无行动的
cancel	[ˈkænsl] v. 取消，废除；抵消，对消；删去，划掉
booth	[buːð] n. （隔开的）小房间；公用电话亭；售货棚
enjoyable	[ɪnˈdʒɔɪəbl] a. 令人愉快的，使人快乐的
conviction	__convinction__ [kənˈvɪkʃn] n. 定罪；坚信，确信
arcade	[ɑːˈkeɪd] n. 拱廊，有拱廊的街道
digest	|
scratch	|
incongruous	[ɪnˈkɔŋgruəs] a. 不协调的，不一致的；不适宜的
stagnate	[stægˈneɪt] v. （使）停滞；不发展
indication	[ˌɪndɪˈkeɪʃn] n. 指示，象征
scatter	[ˈskætə(r)] v. （使人或动物）散开，驱散；撒；撒播
confirm	[kənˈfɜːm] vt. 证实，确定；肯定；批准，使有效
earthquake	[ˈɜːθkweɪk] n. 地震
tangibly	['tændʒəblɪ] ad. 可触摸地；可感知地；有形地
mixture	[ˈmɪkstʃə(r)] n. 混合（物）
shrug	[ʃrʌg] n./v. 耸肩
knob	[nɔb] n. 球形把手；（机器等）旋钮
roll-film	__roll__  __film__ 胶卷
lunar	[ˈluːnə(r)] a. 月的；月亮的
witness	|
slouch	[slautʃ] v. 懒散地站（或坐、走）；低头垂肩地站（或坐、走）
compare	[kəmˈpeə(r)] v. 比较；对比
gorgeous	[ˈgɔːdʒəs] a. 华丽的；极好的
option	[ˈɔpʃn] n. 选择（权）；（供）选择的物（或人）；选课
stare	[steə(r)] n./vi. 盯
standpoint	[ˈstændpɔɪnt] n. 立场；观点
particle	[ˈpɑːtɪkl] n. 极少量；微粒
native	|
consumer	[kənˈsjuːmə(r)] n. 消费者；用户
bulb	[bʌlb] n. 灯泡
audition	[ɔːˈdɪʃn] n. 试演；试听，试音
relentless	[rɪˈlentləs] a. 无情的，残酷的
anecdote	[ˈænɪkdəut] n. 短故事；趣闻，轶事
flat	|
extrovert	[ˈekstrəvɜːt] n. 性格外向的人；爱交际的人
oversee	[ˏəuvəˈsiː] vt. 监督，监视（某人或某物）；俯瞰，眺望
crack	|
participate	[pɑːˈtɪsɪpeɪt] vi. 参加，参与
exhibit	|
laundry	__launtry__ [ˈlɔːndrɪ] n. 洗衣房；待洗衣服
remove	|
scheme	|
motive	[ˈməutɪv] n. 动机，目的
inviolable	[ɪnˈvaɪələbl] a. 不可侵犯的，不容亵渎的，不容破坏的
deserve	[dɪˈzɜːv] v. 应得；值得
adjunct	[ˈædʒʌŋkt] n. 附属物，附件；附加语，修饰语
impoverish	[ɪmˈpɔvərɪʃ] vt. 使贫困；使枯竭，使贫瘠
stitch	|
grope	[grəup] v. （暗中）摸索
counterpart	[ˈkauntəpɑːt] n. 与对方地位相当的人；配对物；副本
irrational	|
reunion	[ˏriːˈjuːnɪən] n. 重聚，团聚；（久别后的）聚会，联谊活动
workaholic	[ˏwɜːkəˈhɔlɪk] n. 工作狂
weakness	[ˈwi:knəs] n. 虚弱；缺点；偏好，嗜好
cholesterol	[kəˈlestərɔl] n. 胆固醇
suppose	[səˈpəuz] v. 假想，假定，猜想，推测；[用于祈使句] 假定，让；[常用于被动语态] 期望做（某事），认为应该做（某事）
modification	[ˌmɒdɪfɪˈkeɪʃn] n. 修改，改正
wealthy	['welθɪ] a. 富的，富裕的；充裕的
regularity	[ˌregjuˈlærəti] n. 规律性，规则性；整齐，匀称
ecology	[iːˈkɔlədʒɪ] n. 生态，生态学；生态环境
layer	[ˈleɪə(r)] n. 层，层次
sympathetic	[ˏsɪmpəˈθetɪk] a. 同情的，体谅的；赞同的，支持的；和谐的
legislative	|
conjunction	[kənˈdʒʌŋkʃn] n. 连接；连词
epitomise	[ɪˈpɪtəmaɪz] vt. 集中体现；概括
era	[ˈɪərə] n. 纪元；时代
comparatively	[kəmˈpærətɪvli] ad. 相对地；比较地
inaugurate	[ɪˈnɔːgjureɪt] vt. 开始，开创；为……举行就职典礼；为……举行开幕式；为……举行落成仪式
propagate	[ˈprɔpəgeɪt] v. 繁殖，增殖；传播，宣传，使普及
kit	|
prosperous	[ˈprɔspərəs] a. 繁荣的，兴旺的；成功的
profile	|
terminal	|
virus	[ˈvaɪərəs] n. 病毒
commodity	[kəˈmɔdətɪ] n. 商品，货物；日用品
contract	|
afflict	[əˈflɪkt] vt. 使苦恼；折磨
sulphuric-acid	__sulphuric__ __acid__ [sʌlˌfjʊərɪk ˈæsɪd] 硫酸
justify	[ˈdʒʌstɪfaɪ] v. 证明……为正当的；为……辩护
populate	[ˈpɔpjuleɪt] vt. （大批地）居住于，生活于
bring-out	__bring__  __out__[briŋ aut] 出版；激起；鼓励
beverage	[ˈbevərɪdʒ] n. 饮料
confine	|
in-accordance-with	in accordance with 按照，依据
retain	[rɪˈteɪn] vt. 保留；保持
force	|
core	|
contradict	[ˏkɔntrəˈdɪkt] v. 反驳，驳斥；与……发生矛盾；相抵触
rectangle	[ˈrektæŋgl] n. 长方形，矩形
asthma	[ˈæsmə] n. 哮喘症
acoustic	[əˈkuːstɪk] a. 原声的；声音（学）的；听觉的
recognition	[ˏrekəgˈnɪʃn] n. 识别；认出；承认，确认，认可；赏识，表彰
churn	|
mechanic	[mɪˈkænɪk] n. 机修工；[-s] 力学，机械学
mainstream	|
encompass	[ɪnˈkʌmpəs] vt. 包含；包围；环绕
insane	[ɪnˈseɪn] a. 蠢极的，荒唐的；（患）精神病的，精神失常的，疯狂的
manifest	|
taunt	|
escalator	[ˈeskəleɪtə(r)] n. <美> 自动扶梯
element	__elememt__ [ˈelɪmənt] n. 要素；元素； [the -s] 基本原理
humble	[ˈhʌmbl] a. 谦逊的，谦虚的；地位（或身份）低下的，卑贱的；简陋的，低劣的  vt. 使谦恭；使卑下；贬低
respect	|
sceptical	[ˈskeptɪkl] a. 怀疑的，猜疑的
pitch	|
shuttle	[ˈʃʌtl] n. 航天飞机
embody	[ɪmˈbɔdɪ] vt. （作品等）表达，体现；具体表现，使具体化；包括，包含
concern	|
radiate	[ˈreɪdɪeɪt] v. 发光；发热；辐射
striking	[ˈstraɪkɪŋ] a. 显著的，惹人注目的
altitude	[ˈæltɪtjuːd] n. 海拔，高度；[pl.] 高地，高处
calm	|
design	|
delicate	[ˈdelɪkət] a. 纤细的；精巧的；微妙的
swell	[swel] v. 膨胀；增长，增强
regarding	[rɪˈgɑ:dɪŋ] prep. 关于
fracture	|
souvenir	[ˏsuːvəˈnɪə(r)] n. 纪念品，纪念物
board	[bɔːd] n. 板；委员会
circus	[ˈsɜːkəs] n. 马戏团；环形广场
axle	[ˈæksl] n. 车轴，轮轴
microbiology	[ˌmaɪkrəʊbaɪˈɒlədʒi] n. 微生物学
strand	[strænd] n. 股，缕；部分，方面
generous	[ˈdʒenərəs] a. 慷慨的；大量的
briefcase	[ˈbriːfkeɪs] n. 公文包
weapon	[ˈwepən] n. 武器，兵器
vocational	[vəʊˈkeɪʃənl] a. 职业的，业务的
anatomy	[əˈnætəmɪ] n. 解剖（学）；解剖结构
organ	[ˈɔːgən] n. 器官；（官方的）机构
authorise	__arthorise__ [ˈɔːθəraɪz] vt. 批准，认可；授权
hum	|
retailing	[ˈri:teɪlɪŋ] n. 零售业
limestone	['laɪmstəʊn] n. 石灰石，石灰岩
submerge	[səbˈmɜːdʒ] v. 浸没；潜入水中
partial	[ˈpɑːʃl] a. 部分的，不完全的；偏爱的，癖好的；偏向一方的，偏心的
bleak	[bliːk] a. 寒冷的，阴沉的，阴郁的，暗淡的；没有希望的，不乐观的；荒凉的；索然无味的
misjudge	[ˏmɪsˈdʒʌdʒ] vt. 判断错误
discretion	[dɪˈskreʃn] n. 判断力；谨慎，审慎；明智
beyond	[bɪˈjɔnd] prep. 在……较远的一边；超出；除……之外
excellent	[ˈeksələnt] a. 极好的；杰出的
heir	[eə(r)] n. 继承人
consequently	[ˈkɔnsikwəntli] ad. 因此，因而
insidious	[ɪnˈsɪdɪəs] a. 潜伏的，隐伏的
linguistic	[lɪŋˈgwɪstɪk] a. 语言的；语言学的
trench	|
molecule	[ˈmɔlɪkjuːl] n. 分子
cap	|
unparalleled	[ʌnˈpærəleld] a. 无双的，无比的，空前的
unregistered	['ʌn'redʒɪstəd] a. 未注册的
nursery	|
elicitation	[ɪˌlɪsɪ'teɪʃn] n. 引出，诱出
fertile	[ˈfɜːtaɪl] a. 肥沃的，多产的，富饶的；能繁殖的
starchy	['stɑ:tʃɪ] a. 含淀粉的
agile	__agile_ [ˈædʒaɪl] a. 敏捷的，灵活的，机敏的
deposit	|
steady	|
instrumental	[ˏɪnstruˈmentl] a. 有帮助的，起作用的；用乐器演奏的
property	[ˈprɔpətɪ] n. 财产，所有物；性质，特性；房产，地产
assimilation	[əˌsɪməˈleɪʃn] n. 吸收；（被）吸收和同化的过程
purify	[ˈpjuərɪfaɪ] vt. 使洁净，使纯洁，净化；提纯，精炼
stance	[stæns] n. 姿势；观点，立场
conversely	[ˈkɒnvɜ:sli] ad. 相反地，颠倒地
disable	[dɪsˈeɪbl] vt. 使丧失能力，使伤残；使不能正常运转，使无效
exclude	[ɪkˈskluːd] vt. 把……排斥在外；将（某物）排除，不包括
memorise	[ˈmeməraɪz] vt. 记住，熟记
cast	|
exterior	|
strengthen	['strŋθn] vt. 加强，巩固
recycle	[ˏriːˈsaɪkl] v. 回收利用
mechanical	[mɪˈkænɪkl] a. 机械的，机械制造的；呆板的；习惯性的；体力的
dismantle	[dɪsˈmæntl] vt. 拆除；废除，取消
sift	[sɪft] v. 细查；筛；过滤
initiate	|
promising	['prɒmɪsɪŋ] a. 有希望的；有前途的
sociable	[ˈsəuʃəbl] a. 友善的，友好的；好交际的，合群的
sector	[ˈsektə(r)] n. 部分，部门；防御地段，防区；扇形
journal	[ˈdʒɜːnl] ｎ. 杂志；日报；日志
coordinator	__coodinator__ [kəʊ'ɔ:dɪneɪtə] n. 协调者
junction	[ˈdʒʌŋkʃn] n. 连接；联结点；交叉路口
migrant	[ˈmaɪgrənt] n. 移居者，移民；迁移动物，候鸟
ripe	[raɪp] a. （水果或庄稼）成熟的；时机成熟的
altruistic	[ˌæltrʊ'ɪstɪk] a. 无私的，为他人着想的
trivial	[ˈtrɪvɪəl] a. 无价值的，琐屑的；平庸的，普通的
guidance	[ˈgaɪdns] n. 指引，指导
loan	[ləun] n./vt. 贷款，借
livestock	[ˈlaɪvstɔk] n. <总称> 家畜，牲畜
contempt	[kənˈtempt] n. 轻视，鄙视，不尊重；蔑视
bound	[baund] a. 负有义务的；一定的，必然的
recipient	[rɪˈsɪpɪənt] n. 接受者
conventional	[kənˈvenʃənl] a. 普通的，习惯的；常规的，因循守旧的，传统的
conditioner	[kənˈdɪʃənə(r)] n. 护发素，护发剂；调节物；调节器，调节装置
roast	|
familiarise	[fəˈmɪlɪəraɪz] vt. 使熟悉，使通晓；使家喻户晓
vegetarian	|
demographic	[ˌdemə'ɡræfɪk] a. 人口统计学的；人口的
review	|
notoriety	[ˌnəʊtəˈraɪəti] n. 声名狼藉，臭名昭著
comprise	[kəmˈpraɪz] vt. 包含；由……组成
granite	[ˈgrænɪt] n. 花岗岩，花岗石
warrant	|
dot	|
microcosm	[ˈmaɪkrəukɔzəm] n. 微观世界；缩影
mild	[maɪld] a. 温柔的；温和的；轻微的
drought	[draut] n. 干旱，旱灾
crush	[krʌʃ] vt. 碾碎；压服，压垮；镇压，制服；压碎，压坏
tremendous	[trɪˈmendəs] a. 极大的，巨大的；非常的，惊人的
link	|
irritate	[ˈɪrɪteɪt] vt. 使烦躁；使疼痛；刺激
attractive	[əˈtræktɪv] a. 吸引的，有吸引力的；引起注意的
extrusion	[ɪk'stru:ʒn] n. 挤出，推出，挤压
plateau	[ˈplætəu] n. 高原；（上升后的）稳定时期（或状态）
turbine	[ˈtɜːbaɪn] n. 涡轮机，汽轮机
participant	[pɑ:ˈtɪsɪpənt] n. 参加者，参与者
perform	[pəˈfɔːm] v. 履行，执行，完成；表演，演出；（机器）运作
pollution	[pəˈlu:ʃn] n. 污染，污染物；玷污
punctual	[ˈpʌŋktʃuəl] a. 守时的；准时的
jaw	[dʒɔː] n. 颌
distribution	[ˌdɪstrɪ'bju:ʃn] n. 分发，分配；配给物；散布，分布
seduce	[sɪˈdjuːs] vt. 勾引，引诱；诱使，唆使
arrange	[əˈreɪndʒ] v. 安排；排列
journalist	[ˈdʒɜ:nəlɪst] n. 新闻工作者，新闻记者
susceptible	[səˈseptəbl] a. 易受影响的，易受伤害的；易受感染的；（人）敏感的，易动感情的；能经受……的，容许……的
immense	[ɪˈmens] a. 巨大的，广大的
triangle	[ˈtraɪæŋgl] n. 三角（形）
sole	|
straw	[strɔː] n. 稻草；吸管
diagram	[ˈdaɪəgræm] n. 图解，图表
clash	|
demolish	[dɪˈmɔlɪʃ] vt. 破坏；拆除；驳倒（论点等），推翻
intend	[ɪnˈtend] v. 想要，打算
skull	[skʌl] n. 颅骨；脑袋
seal	|
leak	|
cosset	|
significance	[sɪgˈnɪfɪkəns] n. 重要性，意义
probation	[prəˈbeɪʃn] n. 缓刑（制）；（对人的）试用；试用期
metaphor	[ˈmetəfə(r)] n. 隐喻，暗喻
refectory	[rɪˈfektrɪ] n. （学院）餐厅，食堂
restrain	[rɪˈstreɪn] vt. 阻止；抑制
ambition	[æmˈbɪʃn] n. 雄心，抱负；野心
inflation	[ɪn'fleɪʃn] n. 通货膨胀
surpass	[səˈpɑːs] v. 超过，超越，优于，胜过；超过……的界限，非……所能办到（或理解）
vicious	[ˈvɪʃəs] a. 罪恶的，邪恶的；残酷的；残忍的；凶猛的；恶性的
vary	[ˈveərɪ] v. 改变；（使）多样化；变化；不同
economic	[ˏiːkəˈnɔmɪk] a. 经济的；经济上的，经济学的
alcohol	[ˈælkəhɔl] n. 含酒精饮料，酒；酒精
baron	[ˈbærən] n. 贵族；男爵
correspond	[ˏkɔrɪˈspɔnd] vi. 相一致，符合；通信；相当于，相应
hawk	[hɔːk] n. 鹰，隼
binoculars	[bɪˈnɔkjuləz] n. 双筒望远镜
terminology	[ˏtɜːmɪˈnɔlədʒɪ] n. （某学科的）专门用语；术语
block	|
flaw	[flɔː] n. 缺点；瑕疵
pathology	[pəˈθɔlədʒɪ] n. 病理学；病变
efficiency	[ɪ'fɪʃnsɪ] n. 效率；功效，效能
expose	[ɪkˈspəuz] vt. 使暴露，揭露
event	[ɪˈvent] n. 事件；比赛项目
maximum	|
discriminate	__dicriminate__ [dɪˈskrɪmɪneɪt] v. 区别；歧视
comprehension	[ˏkɔmprɪˈhenʃn] n. 理解；理解力
examine	[ɪgˈzæmɪn] vt. 检查；调查，研究；测验
applicant	[ˈæplɪkənt] n. 申请人
studio	[ˈstjuːdɪəu] n. 工作室；摄影室；练习室
operational	[ˌɒpəˈreɪʃənl] a. 运转的；操作的；运营的，业务的
concert	[ˈkɔnsət] n. 音乐会，演奏会
inventory	[ˈɪnvəntrɪ] n. 目录；存货
dissemination	[dɪˌsemɪ'neɪʃn] n. 散布，传播
shortage	__shotage__ [ˈʃɔːtɪdʒ] n. 不足，缺少
limited	['lɪmɪtɪd] a. 有限的
mite	[maɪt] n. 极小量；螨虫
indicate	[ˈɪndɪkeɪt] v. 标示，表示，表明；象征；暗示，示意
connect	[kəˈnekt] v. 连接，衔接；联合，关联；由……联想到；给……接通电话
attend	[əˈtend] v. 出席，参加；随同，陪同；专心，注意
strategist	[ˈstrætədʒɪst] n. 战略家
condensation	__condensatioin__ [ˏkɔndenˈseɪʃn] n. 浓缩，凝结
correspondence	[ˌkɒrəˈspɒndəns] n. 通信，信件；符合，一致；对应
